,2,3,4,5,6,7,8,9,10,ACE,JACK,QUEEN,KING
5,N/A,N/A,Hit,N/A,N/A,N/A,N/A,Hit,N/A,N/A,N/A,N/A,N/A
6,Double,Hit,N/A,Double,N/A,N/A,N/A,N/A,Double,Hit,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hit,Hit,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,N/A,Stand,N/A,N/A,N/A,Hit,Double,N/A,Double,Hit,N/A,N/A,N/A
11,N/A,N/A,N/A,N/A,N/A,Stand,N/A,N/A,Hit,Hit,N/A,N/A,N/A
12,Stand,Stand,Double,Stand,Stand,N/A,N/A,Stand,Hit,N/A,N/A,N/A,N/A
13,N/A,Hit,N/A,N/A,Double,Hit,Double,Hit,Hit,Stand,N/A,N/A,N/A
14,N/A,N/A,N/A,Hit,Stand,Hit,N/A,N/A,Hit,N/A,N/A,N/A,N/A
15,N/A,Double,Stand,Hit,Stand,Stand,N/A,N/A,Hit,Hit,N/A,N/A,N/A
16,N/A,Stand,N/A,Double,Hit,Hit,Hit,Hit,Stand,N/A,N/A,N/A,N/A
17,Hit,N/A,N/A,Double,N/A,Hit,Double,N/A,Double,Double,N/A,N/A,N/A
18,Hit,Hit,Stand,N/A,N/A,N/A,N/A,Double,Hit,Hit,N/A,N/A,N/A
19,N/A,N/A,N/A,Hit,N/A,Hit,N/A,N/A,Hit,Double,N/A,N/A,N/A
20,Double,N/A,Hit,N/A,Stand,Hit,N/A,N/A,Stand,Hit,N/A,N/A,N/A
21,N/A,N/A,Stand,Stand,N/A,Stand,N/A,N/A,Stand,Stand,N/A,N/A,N/A
