,2,3,4,5,6,7,8,9,10,ACE,JACK,QUEEN,KING
5,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Double,Hit,Hit,Hit
6,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
7,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
8,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
9,Stand,Double,Double,Double,Double,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
10,Double,Double,Double,Double,Double,Double,Double,Double,Stand,Stand,Hit,Hit,Hit
11,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Hit,Hit,Hit
12,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
13,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
14,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
15,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
16,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
17,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
18,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
19,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
20,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
21,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit
